energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,690.0,2.0,2.0,65.0,12.6,1.5,0.0,0.0,0.0
0.0,0.0,1.4,0.9,9.8,9.8,2.7,0.1,0.04,0.0
57.0,238.0,0.2,0.1,3.9,3.9,10.0,0.09,0.036,0.0
375.0,1569.0,7.0,3.08,70.1,15.0,7.8,1.4,0.56,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.9,685.8,1.9,1.0,0.0,0.0,15.3,1.1,0.44,0.0
194.0,812.0,11.0,3.9,5.7,0.05,18.0,0.0,0.0,0.0
874.9,3661.0,15.1,6.1,2.6,1.0,15.7,2.1,0.84,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266075134277344
0.0,936.0,8.2,2.2,29.0,22.0,5.1,4.6,1.84,0.0
21.0,88.0,0.0,0.0,4.8,0.4,0.2,2.04,0.816,0.0
60.0,251.0,3.0,1.0,10.0,3.0,2.0,1.15,0.46,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,218.0,0.5,0.1,12.0,11.0,0.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,264.0,0.0,0.0,15.5,15.5,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,134.0,0.3,0.1,5.3,3.9,0.9,0.42,0.168,0.0
129.0,540.0,4.9,3.1,16.3,16.3,4.4,0.25,0.1,0.0
155.0,649.0,10.6,3.3,1.1,1.1,12.6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,305.0,4.3,3.0,4.3,1.6,3.3,0.1,0.04,0.0
222.0,929.0,3.3,2.1,38.4,1.8,11.7,0.678,0.2712,0.0
0.0,2415.0,44.0,28.0,30.0,27.0,7.1,0.025,0.01,0.0
290.0,1213.0,9.4,4.5,41.0,2.0,12.5,0.9,0.36,0.0
219.0,916.0,5.9,0.5,30.3,1.7,9.7,0.464,0.1856,112.2
381.0,1594.0,22.0,15.5,27.3,21.9,4.6,0.1,0.04,0.0
469.0,1962.0,25.0,4.9,58.0,44.0,0.8,0.5,0.2,0.0
100.0,418.0,0.0,0.0,24.0,23.0,0.0,3.2,1.28,0.0
157.0,657.0,21.0,12.0,39.0,20.0,7.8,1.5,0.6,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,410.0,3.3,3.3,7.6,7.5,4.6,0.027,0.0108,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,494.0,4.3,1.2,17.1,12.7,2.7,0.1,0.04,0.0
793.0,3318.0,21.7,15.0,66.3,32.1,6.8,0.68,0.272,0.0
157.0,657.0,0.0,0.0,36.0,27.0,0.6,0.0,0.0,0.0
153.0,640.0,9.1,2.5,9.2,0.9,8.3,2.8,1.12,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,301.0,2.2,0.5,5.2,1.2,7.0,0.18,0.072,0.0
143.0,598.0,12.7,1.0,3.9,1.0,1.9,0.27,0.108,0.0
207.0,866.0,6.7,3.8,27.5,0.6,8.9,0.4,0.16,0.0
162.0,678.0,3.7,1.0,20.7,3.8,9.1,0.194,0.0776,0.0
174.0,728.0,2.3,0.4,29.3,1.4,8.9,0.531,0.2124,0.0
216.0,904.0,4.5,2.1,31.5,1.0,12.5,4.51,1.804,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,75.0,0.2,0.1,2.2,2.1,0.9,5.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169.0,707.0,5.6,0.0,22.7,21.6,5.8,0.443,0.1772,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,418.0,2.0,1.0,10.0,10.0,2.0,9.0,3.6,0.0
130.0,544.0,7.2,2.4,1.0,1.0,17.0,0.3,0.12,0.0
172.0,720.0,4.4,1.2,23.3,4.6,8.4,3.58,1.432,33.1875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964.0,4033.0,25.0,9.7,1.0,0.1,20.0,2.6,1.04,0.0
48.0,201.0,0.2,0.0,12.0,11.0,0.2,0.02,0.008,0.0
298.0,1247.0,5.7,3.0,58.0,38.0,3.4,0.6,0.24,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,477.0,8.1,0.9,5.7,1.4,3.9,0.31,0.124,23.025
536.0,2243.0,28.57,28.57,64.29,14.29,3.57,0.0,0.0,65.355
464.0,1941.0,17.86,0.0,60.71,17.86,17.86,0.635,0.254,55.6349305555556
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278.0,1163.0,1.4,0.3,53.0,1.3,12.0,1.8,0.72,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,628.0,5.9,3.7,18.6,17.4,5.1,0.34,0.136,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
397.0,1661.0,33.0,21.6,0.1,0.1,25.0,1.3,0.52,0.0
16.0,67.0,0.3,0.1,1.0,0.7,1.3,18.3,7.32,0.0
197.0,824.0,13.0,4.0,3.0,0.9,17.0,1.1,0.44,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.0,824.0,5.0,1.1,28.7,3.0,8.4,0.467,0.1868,0.0
